fold_year,model,feature,mean_abs_shap,rank
2021,revenue_recursive,rev_lag_28,0.03188380226492882,7
2021,revenue_recursive,recent_user_growth,0.028264928609132767,8
2021,revenue_recursive,doy_sin,0.020720655098557472,9
2021,revenue_recursive,day_of_year,0.01315591111779213,10
2021,revenue_recursive,doy_cos,0.011913063004612923,11
2021,revenue_recursive,rev_roll_mean_3,0.010094893164932728,12
2021,revenue_recursive,hist_dow_aov_log1p,0.008280075155198574,13
2021,revenue_recursive,rev_lag_2,0.008249170146882534,14
2021,revenue_recursive,is_payday,0.007299751043319702,15
2021,revenue_recursive,rev_roll_mean_7,0.007229736540466547,16
2021,revenue_recursive,rev_roll_std_14,0.006713873241096735,17
2021,revenue_recursive,rev_roll_std_3,0.006631587166339159,18
2021,revenue_recursive,rev_roll_std_7,0.005710874684154987,19
2021,revenue_recursive,days_from_mend,0.0052719744853675365,20
2021,revenue_regime,year,0.04596714302897453,1
2021,revenue_regime,recent_user_growth,0.029130132868885994,2
2021,revenue_regime,is_even_year_august,0.016246164217591286,3
2021,revenue_regime,day_of_week,0.015453587286174297,4
2021,revenue_regime,hist_dow_revenue_log1p,0.015250373631715775,5
2021,revenue_regime,day_of_year,0.012340452522039413,6
2021,revenue_regime,event_urban_blowout_2013,0.009750638157129288,7
2021,revenue_regime,event_service_interact,0.0086086206138134,8
2021,revenue_regime,day_of_month,0.007936827838420868,9
2021,revenue_regime,is_odd_year_august,0.007642882410436869,10
2021,revenue_regime,is_post_2019,0.00762577448040247,11
2021,revenue_regime,hist_dow_aov_log1p,0.006599486339837313,12
2021,revenue_regime,doy_sin,0.006344047840684652,13
2021,revenue_regime,days_to_month_end,0.005676803179085255,14
2021,revenue_regime,doy_cos,0.005227747838944197,15
2021,revenue_regime,hist_month_aov_log1p,0.0048635853454470634,16
2021,revenue_regime,hist_month_revenue_log1p,0.004734550602734089,17
2021,revenue_regime,dow_sin,0.004455796908587217,18
2021,revenue_regime,shipping_fee_month_prior,0.004384557716548443,19
2021,revenue_regime,dow_cos,0.004330459050834179,20
2021,ratio_recursive,ratio_lag_1,0.04293546453118324,1
2021,ratio_recursive,ratio_ema_3,0.015053706243634224,2
2021,ratio_recursive,promo_stackable_prior,0.009393340907990932,3
2021,ratio_recursive,doy_sin,0.0029577063396573067,4
2021,ratio_recursive,day_of_year,0.0026581957936286926,5
2021,ratio_recursive,ratio_roll_mean_3,0.002349389484152198,6
2021,ratio_recursive,ratio_lag_2,0.0023010612931102514,7
2021,ratio_recursive,promo_discount_prior,0.0015010209754109383,8
2021,ratio_recursive,promo_active_prior,0.0013979161158204079,9
2021,ratio_recursive,ratio_ema_7,0.0013724142918363214,10
2021,ratio_recursive,ratio_lag_28,0.0013536434853449464,11
2021,ratio_recursive,doy_cos,0.0013272009091451764,12
2021,ratio_recursive,ratio_lag_3,0.0010241562267765403,13
2021,ratio_recursive,month_sin,0.0009914058027788997,14
2021,ratio_recursive,recent_user_growth,0.0009898742428049445,15
2021,ratio_recursive,ratio_lag_14,0.0009676154586486518,16
2021,ratio_recursive,year,0.0009369848412461579,17
2021,ratio_recursive,rev_lag_28,0.0009068382205441594,18
2021,ratio_recursive,rev_lag_14,0.0008473438210785389,19
2021,ratio_recursive,ratio_lag_7,0.0008267948287539184,20
2021,ratio_regime,event_traffic_interact,0.017816035076975822,1
2021,ratio_regime,days_to_month_end,0.006921922788023949,2
2021,ratio_regime,day_of_year,0.005718093831092119,3
2021,ratio_regime,is_payday,0.004611479118466377,4
2021,ratio_regime,doy_cos,0.004355270881205797,5
2021,ratio_regime,refund_rate_month_prior,0.004326991271227598,6
2021,ratio_regime,day_of_month,0.0041244481690227985,7
2021,ratio_regime,event_service_interact,0.004082086496055126,8
2021,ratio_regime,doy_sin,0.0035564082209020853,9
2021,ratio_regime,hist_month_revenue_log1p,0.0022695395164191723,10
2021,ratio_regime,quarter_end_window,0.002004872774705291,11
2021,ratio_regime,is_even_year_august,0.0017553353682160378,12
2021,ratio_regime,promo_pressure_score,0.001450044452212751,13
2021,ratio_regime,year,0.0013995962217450142,14
2021,ratio_regime,conversion_stability_score,0.0013695789966732264,15
2021,ratio_regime,days_from_mend,0.0012463615275919437,16
2021,ratio_regime,hist_month_orders_log1p,0.0010486738756299019,17
2021,ratio_regime,shipping_fee_month_prior,0.0009465107577852905,18
2021,ratio_regime,promo_payday_interact,0.0008833446772769094,19
2021,ratio_regime,month_cos,0.0008805919205769897,20
2022,revenue_recursive,rev_lag_1,0.30735787749290466,1
2022,revenue_recursive,rev_lag_7,0.055242929607629776,2
2022,revenue_recursive,rev_ema_3,0.05345617234706879,3
2022,revenue_recursive,days_to_month_end,0.0400378480553627,4
2022,revenue_recursive,day_of_month,0.036744002252817154,5
2022,revenue_recursive,rev_lag_28,0.0337681882083416,6
2022,revenue_recursive,recent_user_growth,0.03371153026819229,7
2022,revenue_recursive,rev_lag_14,0.03251923248171806,8
2022,revenue_recursive,doy_sin,0.02798391319811344,9
2022,revenue_recursive,doy_cos,0.014387527480721474,10
2022,revenue_recursive,rev_roll_mean_3,0.009520083665847778,11
2022,revenue_recursive,day_of_year,0.009215316735208035,12
2022,revenue_recursive,rev_lag_2,0.008874173276126385,13
2022,revenue_recursive,hist_dow_aov_log1p,0.008066961541771889,14
2022,revenue_recursive,rev_roll_std_3,0.007661423180252314,15
2022,revenue_recursive,rev_roll_mean_7,0.007082571275532246,16
2022,revenue_recursive,days_from_mend,0.00706880958750844,17
2022,revenue_recursive,is_payday,0.006994681898504496,18
2022,revenue_recursive,rev_roll_std_14,0.0061441827565431595,19
2022,revenue_recursive,hist_dow_orders_log1p,0.005458860658109188,20
2022,revenue_regime,recent_user_growth,0.031587377190589905,1
2022,revenue_regime,year,0.031308613717556,2
2022,revenue_regime,day_of_week,0.02674507163465023,3
2022,revenue_regime,is_even_year_august,0.014064762741327286,4
2022,revenue_regime,doy_sin,0.013261992484331131,5
2022,revenue_regime,shipping_fee_month_prior,0.012093651108443737,6
2022,revenue_regime,is_odd_year_august,0.011494000442326069,7
2022,revenue_regime,hist_dow_orders_log1p,0.010528993792831898,8
2022,revenue_regime,event_urban_blowout_2013,0.008705689571797848,9
2022,revenue_regime,day_of_month,0.0073928795754909515,10
2022,revenue_regime,is_post_2019,0.0064498684369027615,11
2022,revenue_regime,day_of_year,0.005718049127608538,12
2022,revenue_regime,dow_cos,0.005674780812114477,13
2022,revenue_regime,dow_sin,0.005202993750572205,14
2022,revenue_regime,hist_dow_revenue_log1p,0.0048915548250079155,15
2022,revenue_regime,days_to_month_end,0.004358379170298576,16
2022,revenue_regime,doy_cos,0.0036821099929511547,17
2022,revenue_regime,week_of_year,0.0032196796964854,18
2022,revenue_regime,event_year_end_sale_2014,0.0029684484470635653,19
2022,revenue_regime,is_payday,0.002843784634023905,20
2022,ratio_recursive,ratio_lag_1,0.0448962077498436,1
2022,ratio_recursive,ratio_ema_3,0.017413657158613205,2
2022,ratio_recursive,day_of_year,0.004524598363786936,3
2022,ratio_recursive,doy_sin,0.0034970156848430634,4
2022,ratio_recursive,recent_user_growth,0.003107313299551606,5
2022,ratio_recursive,ratio_lag_2,0.002660196740180254,6
2022,ratio_recursive,ratio_roll_mean_3,0.0024130898527801037,7
2022,ratio_recursive,promo_active_prior,0.0021126405335962772,8
2022,ratio_recursive,year,0.0017311199335381389,9
2022,ratio_recursive,ratio_ema_7,0.0015083345351740718,10
2022,ratio_recursive,ratio_roll_mean_7,0.0014350884594023228,11
2022,ratio_recursive,promo_discount_prior,0.0014078334206715226,12
2022,ratio_recursive,doy_cos,0.001338065369054675,13
2022,ratio_recursive,hist_month_aov_log1p,0.0013277140678837895,14
2022,ratio_recursive,ratio_lag_28,0.001183968037366867,15
2022,ratio_recursive,promo_stackable_prior,0.0009720809757709503,16
2022,ratio_recursive,ratio_roll_mean_14,0.0009550232789479196,17
2022,ratio_recursive,ratio_lag_14,0.0008393629686906934,18
2022,ratio_recursive,ratio_roll_std_14,0.0007143954862840474,19
2022,ratio_recursive,days_to_month_end,0.0006857070839032531,20
2022,ratio_regime,event_traffic_interact,0.01216080505400896,1
2022,ratio_regime,hist_month_orders_log1p,0.010732444003224373,2
2022,ratio_regime,is_payday,0.00890074297785759,3
2022,ratio_regime,days_to_month_end,0.00750906765460968,4
2022,ratio_regime,day_of_year,0.005430804565548897,5
2022,ratio_regime,doy_cos,0.004520428366959095,6
2022,ratio_regime,day_of_month,0.00414568604901433,7
2022,ratio_regime,doy_sin,0.0036834916099905968,8
2022,ratio_regime,conversion_stability_score,0.0034701412077993155,9
2022,ratio_regime,year,0.0026771798729896545,10
2022,ratio_regime,event_any,0.0026550947222858667,11
2022,ratio_regime,recent_user_growth,0.0024437999818474054,12
2022,ratio_regime,hist_month_revenue_log1p,0.0018939943984150887,13
2022,ratio_regime,promo_pressure_score,0.0018521635793149471,14
2022,ratio_regime,promo_payday_interact,0.0015684752725064754,15
2022,ratio_regime,traffic_engagement_month_prior,0.0014724817592650652,16
2022,ratio_regime,event_urban_blowout_2013,0.001468836097046733,17
2022,ratio_regime,is_even_year_august,0.0014161102008074522,18
2022,ratio_regime,event_service_interact,0.0010959216160699725,19
2022,ratio_regime,shipping_fee_month_prior,0.0008616902050562203,20
